,USD_ROI,BAT_ROI,BTC_ROI,TRADE_ROI
2021-05-17,353.65290000000005,531.4495000000001,305.06350000000003,379.76156863898933
2021-05-18,353.65290000000005,553.3765000000001,300.00005000000004,395.43009766300224
2021-05-19,353.65290000000005,380.7935,257.12225000000007,272.1062620014338
2021-05-20,353.65290000000005,438.776,284.36331000000007,313.5392206430549
2021-05-21,353.65290000000005,380.17699999999996,261.38539000000003,271.6657253049726
2021-05-22,353.65290000000005,341.3125,262.33781000000005,243.89404900389417
2021-05-23,353.65290000000005,281.315,243.31069000000002,201.02121778584282
2021-05-24,353.65290000000005,362.42999999999995,272.14992,258.98412797797135
2021-05-25,353.65290000000005,368.81399999999996,268.53267,258.98412797797135
2021-05-26,353.65290000000005,443.67699999999996,275.0526100000001,311.55352277538924
2021-05-27,353.65290000000005,421.2795,269.89816,311.55352277538924
2021-05-28,353.65290000000005,373.9115,249.76329000000004,276.5229379336758
2021-05-29,353.65290000000005,341.794,242.39474000000004,252.77072528687341
2021-05-30,353.65290000000005,352.443,249.68608000000006,260.6460989142043
2021-05-31,353.65290000000005,383.327,260.95517,283.4860875616346
2021-06-01,428.3994,448.47900000000004,330.165,351.137060069154
2021-06-02,428.3994,478.70579999999995,338.20119000000005,374.80316190959314
2021-06-03,428.3994,497.89799999999997,353.2369500000001,374.80316190959314
2021-06-04,428.3994,457.04760000000005,331.70868,374.80316190959314
2021-06-05,428.3994,450.5748,319.85541,369.4951241769622
2021-06-06,428.3994,457.3398,322.20432000000005,375.04278133634426
2021-06-07,428.3994,420.2028,302.1831900000001,344.5884806818029
2021-06-08,428.3994,403.44419999999997,300.61917,330.84554390852566
2021-06-09,428.3994,420.81,336.63474,345.08641673903526
2021-06-10,428.3994,398.9538,330.24645000000004,327.1631788370565
2021-06-11,428.3994,388.5864,336.04596000000004,318.66136348832356
2021-06-12,428.3994,370.9884,320.01597000000004,304.2300743987736
2021-06-13,428.3994,387.76980000000003,351.13716,304.2300743987736
2021-06-14,428.3994,393.273,364.85523000000006,304.2300743987736
2021-06-15,428.3994,428.0664,361.4613300000001,304.2300743987736
2021-06-16,428.3994,394.7526,345.15900000000005,304.2300743987736
2021-06-17,428.3994,395.184,342.85653,304.2300743987736
2021-06-18,428.3994,367.21740000000005,322.57629000000003,304.2300743987736
2021-06-19,428.3994,361.12500000000006,319.36311000000006,299.18267929912116
2021-06-20,428.3994,359.433,320.27202000000005,297.78090126277885
2021-06-21,428.3994,307.0632,284.48838,254.39388270034448
2021-06-22,428.3994,290.0382,292.84533000000005,240.28911256516267
2021-06-23,428.3994,338.39639999999997,303.19515,280.35262476199966
2021-06-24,428.3994,342.7656,311.89122000000003,280.35262476199966
2021-06-25,428.3994,313.452,284.35167000000007,256.37663446068774
2021-06-26,428.3994,305.69280000000003,290.47671,250.03027973298668
2021-06-27,428.3994,324.1872,312.3830700000001,265.1570998788774
2021-06-28,428.3994,333.9534,310.4389800000001,265.1570998788774
2021-06-29,428.3994,350.9742,323.13852,265.1570998788774
2021-06-30,428.3994,368.16,315.54,265.1570998788774
2021-07-01,486.6172,407.52459999999996,358.62237700000003,326.5170998788774
2021-07-02,486.6172,406.2058,361.713714,326.5170998788774
2021-07-03,486.6172,412.04800000000006,371.0991120000001,326.5170998788774
2021-07-04,486.6172,423.1227,377.53933500000005,326.5170998788774
2021-07-05,486.6172,398.47010000000006,360.56624600000004,326.5170998788774
2021-07-06,486.6172,415.1763,366.2153110000001,340.2066087629731
2021-07-07,486.6172,430.27459999999996,362.50059200000004,340.2066087629731
2021-07-08,486.6172,399.1505,351.772665,340.2066087629731
2021-07-09,486.6172,398.4316,361.91958200000005,339.59387113383394
2021-07-10,486.6172,390.14570000000003,358.61424500000004,339.59387113383394
